period,accruedExpenses,additionalPaidInCapital,cashDuefromBanks,commonStockTotal,customerLiabilityAcceptances,deferredIncomeTax,goodwillNet,intangiblesNet,longTermDebt,longTermInvestments,minorityInterest_x,netLoans,otherAssetsTotal,otherCurrentliabilitiesTotal,otherEarningAssetsTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,preferredStockNonRedeemableNet,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalDebt,totalDeposits,totalEquity,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalShortTermBorrowings,unrealizedGainLoss,dilutedAverageShares,dilutedEPS,interestIncomeBank,loanLossProvision,minorityInterest_y,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,provisionforIncomeTaxes,totalAdjustmentstoNetIncome,totalInterestExpense,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,accountsPayable,accumulatedDepreciationTotal,currentPortofLTDebtCapitalLeases,otherBearingLiabilitiesTotal,propertyPlantEquipmentTotalGross,amortization,accountsReceivableTradeNet,cashEquivalents,cashandShortTermInvestments,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherReceivables,payableAccrued,shortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,totalReceivablesNet,depreciationAmortization,gainLossonSaleofAssets,interestExpIncNetOperatingTotal,interestIncExpNetNonOperatingTotal,operatingIncome,otherNonOperatingIncExpNet,otherOperatingExpensesTotal,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,deferredPolicyAcquisitionCosts,eSOPDebtGuarantee,insuranceReceivables,policyLiabilities,prepaidExpenses,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,otherRevenueTotal,realizedUnrealizedGainsLosses,totalPremiumsEarned,cash,totalInventory,costofRevenueTotal,fuelExpense,grossProfit,researchDevelopment,treasuryStockCommon,equityInAffiliates,totalPreferredSharesOutstanding,deferredTaxes,minorityInterest
2020-06-30,173181.0,14268.0,233083.9,10346.0,,4491.0,,19438.0,133735.0,24800.0,8185.0,1018681.0,237765.0,1141.0,1354909.17,,641320.0,4153.0,20914.0,,141508.0,7.20237,2922798.0,20366.07225,286053.0,1621391.0,187036.0,2735762.0,2922798.0,133735.0,152318.0,,20220.0,0.15884,23000.0,6858.0,-486.0,2639.0,3125.0,4318.0,7651.0,14509.0,-23773.0,20440.0,1193.0,-662.0,8491.0,-1404.0,,2373,-3188.0,-47666.0,159785.0,149801.0,3095.0,,-7455,-1538.0,-446.0,101476.0,4318,2571,-46262.0,-1204.0,5.HK,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,118156.0,13959.0,159780.59999999998,10319.0,,3375.0,,20163.0,129155.0,24474.0,8713.0,1036743.0,175815.0,2150.0,1273001.18,-25135.0,587970.0,4632.0,20871.0,,164049.0,7.03585,2715152.0,20313.25114,307879.0,1502954.0,183955.0,2531197.0,2715152.0,129155.0,178724.0,-108.0,20192.0,0.15727,26945.0,1616.0,-604.0,-1833.0,-1229.0,940.0,13606.0,15222.0,-33202.0,20536.0,2169.0,-705.0,11723.0,-2149.0,,920,-6460.0,-4033.0,6090.0,-9945.0,8997.0,,1422,-72.0,-886.0,-2981.0,940,6098,-1884.0,-5502.0,5.HK,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,152052.0,13998.0,183512.0,10281.0,,2820.0,,25733.0,126557.0,23892.0,8198.0,1021632.0,206176.0,1653.0,1262321.6,-26010.0,585975.0,4412.0,22367.0,,172370.0,7.14409,2751273.0,20237.15586,347546.0,1460353.0,192676.0,2558597.0,2751273.0,126557.0,220989.0,-330.0,20189.0,0.42768,27750.0,1140.0,-721.0,9216.0,9937.0,12407.0,14100.0,15240.0,-27489.0,25796.0,2470.0,-709.0,12510.0,-1483.0,,1347,-8382.0,-31285.0,23653.0,22243.0,1522.0,,-174,-4138.0,27.0,-16188.0,12407,-12519,-29802.0,-4271.0,5.HK,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,4634.0,,65722.3,9658.0,,7083.0,329.0,21625.0,19494.0,2520.0,107.0,942930.0,14555.0,4159.0,579994.69,12233.0,221162.0,8503.0,,32362,133734.0,82.0444,1676991.0,1911.84274,22810.0,1223139.0,178810.0,1498181.0,1676991.0,20932.0,1878.0,23185.0,1911.84274,5.86291,22817.0,1327.0,8.0,11184.0,11176.0,12919.0,15075.0,16402.0,-16617.0,14461.0,1743.0,-110.0,6415.0,-1038.0,6355,20,-6124.0,-658.0,22737.0,28892.0,1169.0,-481,-504,-289.0,,15451.0,12919,-20173,380.0,-5354.0,11.HK,HK,6751.0,-4514.0,,8336.0,36876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,4096.0,,84280.7,9658.0,,6922.0,329.0,19459.0,19503.0,2546.0,117.0,919845.0,13784.0,2550.0,564660.21,12486.0,213442.0,8432.0,,32480,127395.0,79.99246,1656652.0,1911.84274,27554.0,1213200.0,172721.0,1483931.0,1656652.0,20890.0,6664.0,23182.0,1911.84274,6.90308,21373.0,510.0,10.0,13656.0,13646.0,15894.0,15343.0,15853.0,-19055.0,19606.0,2248.0,-309.0,5520.0,-696.0,5054,20,14131.0,-39347.0,4303.0,8769.0,967.0,-232,103,23923.0,,-20810.0,15894,-21397,-38651.0,-9560.0,11.HK,HK,8541.0,-4360.0,,7509.0,36840.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,,,30449.0,,792.0,,18378.0,80.0,1485.0,328.0,,,207880.0,,40.0,507.0,17.0,,3955,13684.0,20.45272,279051.0,1261.20132,2924.0,,44173.0,234878.0,279051.0,2314.0,,,1264.36745,1.56043,,,-3.0,1979.0,1982.0,2296.0,,,,,314.0,,,-583.0,757,109,-4327.0,43.0,5978.0,1557.0,549.0,-132,,0.0,-282.0,1694.0,4901,-1029,626.0,-3913.0,388.HK,HK,,,610,,,,25791.0,128152.0,229404.0,21.0,0.0,,0.0,22447.0,101252.0,255195.0,230937.0,25791.0,278.0,,-563.0,-33.0,2329.0,,125.0,3166.0,1004.0,837.0,-7.0,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,29702.0,,743.0,,18193.0,163.0,517.0,313.0,,,187982.0,,51.0,513.0,40.0,,3840,14367.0,20.60793,245553.0,1258.108,2801.0,,44120.0,201433.0,245553.0,2386.0,,,1259.61111,2.06175,,,1.0,2597.0,2596.0,3021.0,,,,,425.0,,,-508.0,672,322,-2827.0,-3528.0,4084.0,-1156.0,495.0,-49,,-903.0,-3.0,-2271.0,6050,-1305,-3020.0,-1872.0,388.HK,HK,,,415,,,,14038.0,114532.0,208904.0,21.0,0.0,,0.0,9081.0,94372.0,222942.0,197478.0,14038.0,247.0,,-637.0,-39.0,3060.0,,109.0,3649.0,870.0,589.0,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,,,14129.0,,6237.0,1551,969.0,5757.0,234194.0,448.0,,14808.0,432.0,,-698.0,10054.0,23.0,,2865,28471.0,4.5486,284132.0,12089.0,5757.0,,57508.0,226624.0,284132.0,5757.0,,15826.0,12106.0,0.24038,,,-21.0,2784.0,2805.0,3294.0,,,,,489.0,,,-159.0,148,261,-793.0,-148.0,2102.0,2158.0,,-114,15,-149.0,4.0,1176.0,3294,-3350,11.0,-534.0,1299.HK,HK,,,,,,,,3189.0,,205.0,0.0,,,,,,,,169.0,,147.0,-8.0,3302.0,,446.0,,1062.0,19788.0,148.0,26328.0,-220.0,,203696.0,,-869.0,18685.0,3901.0,14.0,2049.0,16440.96,,,,,,,,,,,
2019-06-30,,,,14128.0,,5284.0,974,979.0,5817.0,211947.0,440.0,,10420.0,376.0,,-945.0,7270.0,29.0,,2711,26184.0,3.96435,255688.0,12089.0,5817.0,,49878.0,205810.0,255688.0,5817.0,,10735.0,12036.0,0.32791,,,-18.0,3864.0,3882.0,4601.0,,,,,719.0,,,-116.0,119,476,-727.0,-97.0,1235.0,869.0,,-101,20,791.0,31.0,431.0,4601,-4235,19.0,-1448.0,1299.HK,HK,,,,,,,,2869.0,,252.0,0.0,,,,,,,,170.0,,136.0,0.0,4601.0,,436.0,,1065.0,19832.0,98.0,25507.0,-224.0,,186623.0,,-1347.0,19274.0,3727.0,89.0,4851.0,15135.359999999999,,,,,,,,,,,
2019-12-31,,,265633.89999999997,52864.0,,6480.0,,,0.0,1632.0,5233.0,1388847.0,81885.0,7992.0,1202240.17,22862.0,169973.0,63.0,,51602,187006.0,28.58841,3026056.0,10572.78027,178760.0,2277162.0,302259.0,2723797.0,3026056.0,1850.0,163840.0,39527.0,10572.78027,1.40889,34179.0,1135.0,-173.0,15625.0,15798.0,18536.0,19485.0,20620.0,-25595.0,24646.0,2738.0,-695.0,13559.0,-898.0,1049,264,-7246.0,-908.0,5941.0,-23579.0,1479.0,-1135,-7775,-349.0,,-9988.0,18907,9134,-10.0,-5762.0,2388.HK,HK,78197,-8867,13070,,60469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
